日期,最高气温,最低气温,天气,风向,风力,日照时数,空气质量指数
2022-08-15 星期一 ,35℃,21℃,雾,东北风 ,3级,13:45:39,"24
                                       "
2022-08-16 星期二 ,31℃,22℃,多云,南风 ,1级,13:43:21,"26
                                       "
2022-08-17 星期三 ,30℃,24℃,多云,东北风 ,3级,13:41:03,"49
                                       "
2022-08-18 星期四 ,25℃,24℃,中雨,西北风 ,1级,13:38:43,"44
                                       "
2022-08-19 星期五 ,31℃,21℃,多云,东北风 ,2级,13:36:22,"26
                                       "
2022-08-20 星期六 ,30℃,23℃,多云,南风 ,2级,13:34:00,"29
                                       "
2022-08-21 星期日 ,31℃,24℃,多云,东南风 ,2级,13:31:37,"51
                                       "
2022-08-22 星期一 ,33℃,19℃,雾,北风 ,1级,13:29:13,"29
                                       "
2022-08-23 星期二 ,28℃,21℃,多云,西南风 ,2级,13:26:48,"14
                                       "
2022-08-24 星期三 ,27℃,19℃,多云,北风 ,1级,13:24:23,"26
                                       "
2022-08-25 星期四 ,32℃,19℃,晴,西南风 ,1级,13:21:57,"29
                                       "
2022-08-26 星期五 ,27℃,14℃,多云,东南风 ,1级,13:19:30,"22
                                       "
2022-08-27 星期六 ,27℃,18℃,多云,西南风 ,1级,13:17:03,"21
                                       "
2022-08-28 星期日 ,23℃,16℃,多云,西南风 ,2级,13:14:34,"38
                                       "
2022-08-29 星期一 ,22℃,18℃,多云,东南风 ,1级,13:12:06,"31
                                       "
2022-08-30 星期二 ,27℃,18℃,多云,西北风 ,1级,13:09:37,"43
                                       "
2022-08-31 星期三 ,31℃,18℃,晴,西风 ,2级,13:07:07,"20
                                       "
2022-09-01 星期四 ,28℃,15℃,晴,南风 ,2级,13:04:36,"30
                                       "
2022-09-02 星期五 ,28℃,18℃,晴,东北风 ,1级,13:02:06,"47
                                       "
2022-09-03 星期六 ,27℃,19℃,多云,南风 ,1级,12:59:35,"54
                                       "
2022-09-04 星期日 ,28℃,20℃,多云,西北风 ,2级,12:57:02,"53
                                       "
2022-09-05 星期一 ,28℃,14℃,晴,西北风 ,3级,12:54:30,"21
                                       "
2022-09-06 星期二 ,29℃,15℃,晴,西北风 ,1级,12:51:58,"26
                                       "
2022-09-07 星期三 ,32℃,17℃,晴,东南风 ,2级,12:49:25,"31
                                       "
2022-09-08 星期四 ,32℃,19℃,晴,北风 ,1级,12:46:51,"54
                                       "
2022-09-09 星期五 ,31℃,20℃,多云,北风 ,1级,12:44:18,"76
                                       "
2022-09-10 星期六 ,31℃,19℃,多云,东北风 ,2级,12:41:44,"84
                                       "
2022-09-11 星期日 ,28℃,20℃,多云,东南风 ,1级,12:39:10,"49
                                       "
2022-09-12 星期一 ,30℃,20℃,多云,东风 ,1级,12:36:35,"74
                                       "
2022-09-13 星期二 ,30℃,20℃,多云,东风 ,4级,12:34:01,"79
                                       "
2022-09-14 星期三 ,30℃,20℃,多云,东风 ,2级,12:31:25,"58
                                       "
2022-09-15 星期四 ,30℃,19℃,多云,北风 ,2级,12:28:50,"49
                                       "
2022-09-16 星期五 ,30℃,20℃,多云,东南风 ,1级,12:26:15,"54
                                       "
2022-09-17 星期六 ,30℃,20℃,多云,南风 ,2级,12:23:39,"72
                                       "
2022-09-18 星期日 ,29℃,17℃,晴,北风 ,1级,12:21:03,"32
                                       "
2022-09-19 星期一 ,26℃,13℃,多云,北风 ,2级,12:18:28,"26
                                       "
2022-09-20 星期二 ,26℃,14℃,晴,西南风 ,1级,12:15:51,"26
                                       "
2022-09-21 星期三 ,26℃,16℃,多云,东风 ,3级,12:13:15,"49
                                       "
2022-09-22 星期四 ,27℃,13℃,多云,西北风 ,4级,12:10:40,"46
                                       "
2022-09-23 星期五 ,25℃,10℃,晴,西风 ,2级,12:08:04,"23
                                       "
2022-09-24 星期六 ,26℃,11℃,多云,西南风 ,3级,12:05:27,"41
                                       "
2022-09-25 星期日 ,26℃,13℃,多云,南风 ,1级,12:02:51,"76
                                       "
2022-09-26 星期一 ,28℃,15℃,多云,南风 ,1级,12:00:15,"91
                                       "
2022-09-27 星期二 ,29℃,16℃,多云,南风 ,2级,11:57:38,"97
                                       "
2022-09-28 星期三 ,28℃,16℃,多云,北风 ,1级,11:55:02,"92
                                       "
2022-09-29 星期四 ,29℃,18℃,多云,南风 ,2级,11:52:26,"98
                                       "
2022-09-30 星期五 ,29℃,19℃,多云,南风 ,1级,11:49:50,"116
                                       "
2022-10-01 星期六 ,24℃,19℃,多云,西南风 ,1级,11:47:14,"93
                                       "
2022-10-02 星期日 ,19℃,17℃,小雨,西风 ,1级,11:44:38,"27
                                       "
2022-10-03 星期一 ,20℃,8℃,小雨,东北风 ,3级,11:42:02,"16
                                       "
2022-10-04 星期二 ,16℃,4℃,晴,西南风 ,1级,11:39:27,"18
                                       "
2022-10-05 星期三 ,15℃,6℃,多云,西风 ,2级,11:36:51,"24
                                       "
2022-10-06 星期四 ,18℃,4℃,多云,西南风 ,2级,11:34:17,"43
                                       "
2022-10-07 星期五 ,19℃,9℃,多云,南风 ,2级,11:31:42,"72
                                       "
2022-10-08 星期六 ,12℃,9℃,多云,西北风 ,2级,11:29:06,"88
                                       "
2022-10-09 星期日 ,15℃,6℃,晴,北风 ,3级,11:26:32,"19
                                       "
2022-10-10 星期一 ,18℃,3℃,晴,西北风 ,1级,11:23:58,"21
                                       "
2022-10-11 星期二 ,20℃,5℃,晴,西南风 ,3级,11:21:24,"32
                                       "
2022-10-12 星期三 ,20℃,8℃,多云,南风 ,1级,11:18:50,"72
                                       "
2022-10-13 星期四 ,19℃,12℃,多云,南风 ,1级,11:16:17,"114
                                       "
2022-10-14 星期五 ,22℃,10℃,多云,西风 ,1级,11:13:45,"140
                                       "
2022-10-15 星期六 ,24℃,11℃,多云,北风 ,1级,11:11:13,"142
                                       "
2022-10-16 星期日 ,19℃,5℃,晴,北风 ,1级,11:08:41,"24
                                       "
2022-10-17 星期一 ,17℃,2℃,晴,西北风 ,2级,11:06:10,"16
                                       "
2022-10-18 星期二 ,19℃,2℃,晴,西南风 ,1级,11:03:39,"29
                                       "
2022-10-19 星期三 ,21℃,7℃,晴,东风 ,3级,11:01:09,"61
                                       "
2022-10-20 星期四 ,18℃,7℃,多云,西北风 ,3级,10:58:39,"104
                                       "
2022-10-21 星期五 ,22℃,10℃,多云,北风 ,1级,10:56:10,"127
                                       "
2022-10-22 星期六 ,21℃,5℃,晴,南风 ,1级,10:53:41,"42
                                       "
2022-10-23 星期日 ,22℃,4℃,晴,西北风 ,1级,10:51:14,"25
                                       "
2022-10-24 星期一 ,20℃,6℃,晴,东风 ,1级,10:48:47,"55
                                       "
2022-10-25 星期二 ,19℃,10℃,多云,西南风 ,1级,10:46:21,"116
                                       "
2022-10-26 星期三 ,18℃,10℃,多云,东北风 ,3级,10:43:56,"139
                                       "
2022-10-27 星期四 ,12℃,9℃,多云,南风 ,0级,10:41:32,"22
                                       "
2022-10-28 星期五 ,13℃,9℃,多云,东南风 ,2级,10:39:08,"55
                                       "
2022-10-29 星期六 ,14℃,8℃,多云,南风 ,1级,10:36:45,"65
                                       "
2022-10-30 星期日 ,15℃,8℃,多云,东南风 ,1级,10:34:24,"94
                                       "
2022-10-31 星期一 ,17℃,2℃,晴,西北风 ,2级,10:32:04,"42
                                       "
2022-11-01 星期二 ,15℃,4℃,晴,东南风 ,1级,10:29:44,"26
                                       "
2022-11-02 星期三 ,16℃,3℃,多云,东风 ,2级,10:27:26,"58
                                       "
2022-11-03 星期四 ,13℃,0℃,多云,东北风 ,1级,10:25:09,"45
                                       "
2022-11-04 星期五 ,14℃,-1℃,晴,西风 ,2级,10:22:53,"28
                                       "
2022-11-05 星期六 ,16℃,4℃,晴,西南风 ,2级,10:20:40,"50
                                       "
2022-11-06 星期日 ,12℃,4℃,多云,南风 ,1级,10:18:26,"106
                                       "
2022-11-07 星期一 ,16℃,1℃,晴,西风 ,1级,10:16:15,"52
                                       "
2022-11-08 星期二 ,16℃,3℃,多云,南风 ,2级,10:14:05,"58
                                       "
2022-11-09 星期三 ,13℃,5℃,多云,东北风 ,1级,10:11:56,"101
                                       "
2022-11-10 星期四 ,16℃,8℃,多云,西风 ,1级,10:09:49,"115
                                       "
2022-11-11 星期五 ,12℃,10℃,小雨,东风 ,1级,10:07:44,"135
                                       "
2022-11-12 星期六 ,11℃,0℃,多云,北风 ,3级,10:05:41,"16
                                       "
2022-11-13 星期日 ,9℃,-1℃,晴,西南风 ,2级,10:03:39,"18
                                       "
2022-11-14 星期一 ,12℃,0℃,晴,西北风 ,1级,10:01:39,"50
                                       "
2022-11-15 星期二 ,17℃,0℃,雾,北风 ,2级,9:59:42,"38
                                       "
2022-11-16 星期三 ,15℃,0℃,多云,东风 ,1级,9:57:46,"39
                                       "
2022-11-17 星期四 ,15℃,4℃,多云,北风 ,1级,9:55:52,"83
                                       "
2022-11-18 星期五 ,11℃,4℃,多云,南风 ,5级,9:54:01,"111
                                       "
2022-11-19 星期六 ,14℃,5℃,多云,西风 ,2级,9:52:12,"128
                                       "
2022-11-20 星期日 ,9℃,4℃,多云,东北风 ,2级,9:50:25,"151
                                       "
2022-11-21 星期一 ,13℃,2℃,多云,东风 ,2级,9:48:40,"58
                                       "
2022-11-22 星期二 ,11℃,0℃,多云,西南风 ,1级,9:46:58,"61
                                       "
2022-11-23 星期三 ,13℃,2℃,多云,东风 ,1级,9:45:19,"95
                                       "
2022-11-24 星期四 ,8℃,4℃,多云,东北风 ,1级,9:43:41,"155
                                       "
2022-11-25 星期五 ,13℃,-2℃,雾,西北风 ,2级,9:42:08,"89
                                       "
2022-11-26 星期六 ,4℃,-2℃,多云,东南风 ,3级,9:40:36,"23
                                       "
2022-11-27 星期日 ,7℃,1℃,多云,西南风 ,1级,9:39:08,"39
                                       "
2022-11-28 星期一 ,13℃,-5℃,多云,北风 ,3级,9:37:42,"75
                                       "
2022-11-29 星期二 ,-5℃,-9℃,多云,西北风 ,4级,9:36:19,"42
                                       "
2022-11-30 星期三 ,-1℃,-9℃,晴,西风 ,4级,9:34:58,"31
                                       "
2022-12-01 星期四 ,0℃,-8℃,晴,西南风 ,1级,9:33:42,"32
                                       "
2022-12-02 星期五 ,0℃,-6℃,多云,南风 ,2级,9:32:28,"59
                                       "
2022-12-03 星期六 ,2℃,-9℃,多云,西北风 ,1级,9:31:18,"29
                                       "
2022-12-04 星期日 ,2℃,-8℃,晴,东北风 ,1级,9:30:10,"30
                                       "
2022-12-05 星期一 ,5℃,-8℃,多云,西北风 ,2级,9:29:07,"44
                                       "
2022-12-06 星期二 ,6℃,-6℃,晴,西南风 ,1级,9:28:07,"51
                                       "
2022-12-07 星期三 ,8℃,-5℃,多云,西风 ,1级,9:27:10,"42
                                       "
2022-12-08 星期四 ,9℃,-5℃,多云,西北风 ,1级,9:26:16,"44
                                       "
2022-12-09 星期五 ,7℃,-3℃,多云,西北风 ,2级,9:25:26,"65
                                       "
2022-12-10 星期六 ,3℃,-5℃,晴,北风 ,1级,9:24:40,"25
                                       "
2022-12-11 星期日 ,4℃,-4℃,多云,南风 ,2级,9:23:58,"25
                                       "
2022-12-12 星期一 ,3℃,-6℃,多云,东北风 ,1级,9:23:19,"363
                                       "
2022-12-13 星期二 ,-3℃,-10℃,多云,西风 ,1级,9:22:44,"92
                                       "
2022-12-14 星期三 ,0℃,-7℃,多云,北风 ,1级,9:22:12,"55
                                       "
2022-12-15 星期四 ,-1℃,-9℃,多云,北风 ,2级,9:21:44,"37
                                       "
2022-12-16 星期五 ,-1℃,-12℃,多云,西北风 ,4级,9:21:20,"24
                                       "
2022-12-17 星期六 ,-2℃,-11℃,多云,东北风 ,1级,9:21:01,"30
                                       "
2022-12-18 星期日 ,0℃,-10℃,多云,东北风 ,2级,9:20:45,"38
                                       "
2022-12-19 星期一 ,2℃,-9℃,晴,东风 ,1级,9:20:33,"48
                                       "
2022-12-20 星期二 ,2℃,-7℃,多云,西南风 ,4级,9:20:25,"58
                                       "
2022-12-21 星期三 ,0℃,-7℃,多云,西南风 ,4级,9:20:21,"29
                                       "
2022-12-22 星期四 ,-1℃,-8℃,多云,北风 ,2级,9:20:21,"18
                                       "
2022-12-23 星期五 ,0℃,-7℃,晴,东北风 ,3级,9:20:25,"18
                                       "
2022-12-24 星期六 ,4℃,-7℃,晴,南风 ,3级,9:20:32,"27
                                       "
2022-12-25 星期日 ,1℃,-7℃,多云,西北风 ,1级,9:20:44,"40
                                       "
2022-12-26 星期一 ,3℃,-7℃,晴,西风 ,1级,9:20:59,"47
                                       "
2022-12-27 星期二 ,1℃,-8℃,晴,西风 ,2级,9:21:19,"27
                                       "
2022-12-28 星期三 ,3℃,-8℃,晴,西南风 ,5级,9:21:43,"35
                                       "
2022-12-29 星期四 ,3℃,-9℃,晴,东北风 ,1级,9:22:10,"22
                                       "
2022-12-30 星期五 ,4℃,-8℃,晴,东风 ,1级,9:22:40,"38
                                       "
2022-12-31 星期六 ,6℃,-7℃,晴,东风 ,1级,9:23:15,"46
                                       "
2023-01-01 星期日 ,4℃,-7℃,多云,西北风 ,1级,9:23:54,"38
                                       "
2023-01-02 星期一 ,3℃,-8℃,多云,东风 ,1级,9:24:37,"22
                                       "
2023-01-03 星期二 ,3℃,-8℃,多云,东北风 ,1级,9:25:23,"36
                                       "
2023-01-04 星期三 ,5℃,-8℃,晴,东北风 ,1级,9:26:12,"63
                                       "
2023-01-05 星期四 ,4℃,-6℃,多云,西南风 ,1级,9:27:06,"106
                                       "
2023-01-06 星期五 ,9℃,-7℃,多云,东北风 ,1级,9:28:03,"103
                                       "
2023-01-07 星期六 ,7℃,-6℃,多云,南风 ,1级,9:29:03,"66
                                       "
2023-01-08 星期日 ,12℃,-5℃,晴,西南风 ,3级,9:30:07,"59
                                       "
2023-01-09 星期一 ,8℃,-6℃,多云,西风 ,5级,9:31:15,"34
                                       "
2023-01-10 星期二 ,7℃,-6℃,晴,东南风 ,4级,9:32:25,"60
                                       "
2023-01-11 星期三 ,2℃,-4℃,多云,北风 ,1级,9:33:39,"82
                                       "
2023-01-12 星期四 ,3℃,0℃,多云,北风 ,1级,9:34:56,"115
                                       "
2023-01-13 星期五 ,7℃,-4℃,多云,东北风 ,2级,9:36:16,"100
                                       "
2023-01-14 星期六 ,-2℃,-10℃,阴,西北风 ,4级,9:37:40,"21
                                       "
2023-01-15 星期日 ,0℃,-10℃,晴,西风 ,2级,9:39:05,"23
                                       "
2023-01-16 星期一 ,1℃,-8℃,晴,东北风 ,3级,9:40:35,"43
                                       "
2023-01-17 星期二 ,3℃,-9℃,晴,西北风 ,2级,9:42:07,"80
                                       "
2023-01-18 星期三 ,3℃,-6℃,晴,北风 ,1级,9:43:42,"70
                                       "
2023-01-19 星期四 ,4℃,-9℃,晴,西北风 ,1级,9:45:20,"71
                                       "
2023-01-20 星期五 ,-1℃,-9℃,晴,南风 ,1级,9:47:00,"40
                                       "
2023-01-21 星期六 ,1℃,-9℃,晴,北风 ,1级,9:48:43,"58
                                       "
2023-01-22 星期日 ,4℃,-8℃,多云,西北风 ,2级,9:50:29,"93
                                       "
2023-01-23 星期一 ,-3℃,-14℃,多云,西北风 ,3级,9:52:16,"59
                                       "
2023-01-24 星期二 ,-6℃,-13℃,晴,西南风 ,1级,9:54:07,"36
                                       "
2023-01-25 星期三 ,-4℃,-10℃,多云,东北风 ,2级,9:55:59,"44
                                       "
2023-01-26 星期四 ,1℃,-9℃,多云,西北风 ,2级,9:57:54,"46
                                       "
2023-01-27 星期五 ,2℃,-9℃,晴,西风 ,3级,9:59:51,"24
                                       "
2023-01-28 星期六 ,6℃,-5℃,晴,西南风 ,1级,10:01:50,"62
                                       "
2023-01-29 星期日 ,10℃,-6℃,晴,北风 ,1级,10:03:51,"64
                                       "
2023-01-30 星期一 ,8℃,-5℃,晴,东风 ,2级,10:05:54,"63
                                       "
2023-01-31 星期二 ,14℃,-3℃,晴,北风 ,3级,10:07:59,"70
                                       "
2023-02-01 星期三 ,4℃,-8℃,多云,东北风 ,2级,10:10:06,"30
                                       "
2023-02-02 星期四 ,2℃,-7℃,多云,东北风 ,1级,10:12:14,"22
                                       "
2023-02-03 星期五 ,5℃,-5℃,多云,东风 ,1级,10:14:24,"42
                                       "
2023-02-04 星期六 ,9℃,-6℃,晴,南风 ,2级,10:16:36,"48
                                       "
2023-02-05 星期日 ,6℃,-4℃,多云,东北风 ,1级,10:18:49,"100
                                       "
2023-02-06 星期一 ,8℃,-5℃,多云,东南风 ,2级,10:21:04,"129
                                       "
2023-02-07 星期二 ,6℃,-5℃,晴,东北风 ,1级,10:23:19,"67
                                       "
2023-02-08 星期三 ,7℃,-2℃,多云,南风 ,2级,10:25:37,"34
                                       "
2023-02-09 星期四 ,1℃,-5℃,多云,北风 ,2级,10:27:56,"68
                                       "
2023-02-10 星期五 ,3℃,-3℃,多云,北风 ,2级,10:30:16,"113
                                       "
2023-02-11 星期六 ,3℃,0℃,多云,东北风 ,2级,10:32:37,"185
                                       "
2023-02-12 星期日 ,2℃,-4℃,大雪,北风 ,1级,10:34:59,"108
                                       "
2023-02-13 星期一 ,6℃,-2℃,多云,西风 ,3级,10:37:23,"23
                                       "
2023-02-14 星期二 ,4℃,-5℃,多云,南风 ,1级,10:39:48,"20
                                       "
2023-02-15 星期三 ,4℃,-6℃,多云,西南风 ,2级,10:42:13,"52
                                       "
2023-02-16 星期四 ,6℃,-4℃,多云,西南风 ,1级,10:44:39,"92
                                       "
2023-02-17 星期五 ,5℃,-1℃,多云,东北风 ,1级,10:47:07,"174
                                       "
2023-02-18 星期六 ,4℃,-5℃,多云,西北风 ,3级,10:49:36,"164
                                       "
2023-02-19 星期日 ,11℃,-3℃,晴,北风 ,2级,10:52:04,"29
                                       "
2023-02-20 星期一 ,6℃,-5℃,晴,西北风 ,2级,10:54:34,"23
                                       "
2023-02-21 星期二 ,5℃,-3℃,多云,北风 ,1级,10:57:05,"36
                                       "
2023-02-22 星期三 ,9℃,-2℃,多云,东北风 ,2级,10:59:36,"78
                                       "
2023-02-23 星期四 ,10℃,0℃,多云,北风 ,2级,11:02:09,"121
                                       "
2023-02-24 星期五 ,7℃,-5℃,多云,北风 ,2级,11:04:40,"43
                                       "
2023-02-25 星期六 ,10℃,-4℃,晴,西南风 ,2级,11:07:14,"24
                                       "
2023-02-26 星期日 ,11℃,-1℃,晴,南风 ,1级,11:09:47,"88
                                       "
2023-02-27 星期一 ,12℃,1℃,多云,北风 ,1级,11:12:22,"173
                                       "
2023-02-28 星期二 ,14℃,-1℃,多云,北风 ,2级,11:14:57,"88
                                       "
2023-03-01 星期三 ,10℃,-3℃,晴,东北风 ,2级,11:17:31,"21
                                       "
2023-03-02 星期四 ,14℃,0℃,晴,西北风 ,2级,11:20:07,"21
                                       "
2023-03-03 星期五 ,20℃,0℃,晴,东北风 ,1级,11:22:43,"51
                                       "
2023-03-04 星期六 ,16℃,0℃,多云~晴,北风 ,1级,11:25:19,"65
                                       "
2023-03-05 星期日 ,11℃,2℃,多云~晴,北风 ,1级,11:27:55,"139
                                       "
2023-03-06 星期一 ,23℃,3℃,多云~晴,西南风 ,1级,11:30:32,"212
                                       "
2023-03-07 星期二 ,21℃,7℃,多云,东北风 ,1级,11:33:10,"170
                                       "
2023-03-08 星期三 ,19℃,2℃,多云~晴,东南风 ,2级,11:35:47,"190
                                       "
2023-03-09 星期四 ,19℃,6℃,多云~晴,东北风 ,1级,11:38:25,"109
                                       "
2023-03-10 星期五 ,27℃,8℃,多云,北风 ,3级,11:41:03,"77
                                       "
2023-03-11 星期六 ,14℃,1℃,多云~小雨,北风 ,4级,11:43:40,"243
                                       "
2023-03-12 星期日 ,11℃,-1℃,多云,东南风 ,2级,11:46:19,"124
                                       "
2023-03-13 星期一 ,15℃,3℃,多云,东北风 ,1级,11:48:58,"53
                                       "
2023-03-14 星期二 ,21℃,1℃,扬沙~晴,北风 ,3级,11:51:36,"73
                                       "
2023-03-15 星期三 ,11℃,-1℃,多云~晴,东北风 ,1级,11:54:14,"126
                                       "
2023-03-16 星期四 ,11℃,1℃,多云,北风 ,1级,11:56:53,"96
                                       "
2023-03-17 星期五 ,10℃,1℃,多云,北风 ,1级,11:59:32,"49
                                       "
2023-03-18 星期六 ,17℃,1℃,多云~晴,西南风 ,2级,12:02:10,"78
                                       "
2023-03-19 星期日 ,14℃,5℃,多云,北风 ,1级,12:04:49,"44
                                       "
2023-03-20 星期一 ,16℃,7℃,多云,东北风 ,1级,12:07:28,"80
                                       "
2023-03-21 星期二 ,18℃,10℃,多云,东南风 ,1级,12:10:06,"148
                                       "
2023-03-22 星期三 ,15℃,4℃,多云,北风 ,2级,12:12:45,"161
                                       "
2023-03-23 星期四 ,12℃,4℃,多云,西北风 ,2级,12:15:23,"336
                                       "
2023-03-24 星期五 ,13℃,3℃,多云~阴,西北风 ,1级,12:18:02,"102
                                       "
2023-03-25 星期六 ,15℃,-1℃,多云~晴,西南风 ,1级,12:20:40,"60
                                       "
2023-03-26 星期日 ,16℃,3℃,多云~晴,西南风 ,3级,12:23:18,"58
                                       "
2023-03-27 星期一 ,20℃,5℃,多云~晴,北风 ,3级,12:25:56,"51
                                       "
2023-03-28 星期二 ,21℃,7℃,多云,北风 ,4级,12:28:34,"52
                                       "
2023-03-29 星期三 ,25℃,10℃,多云~晴,西风 ,4级,12:31:11,"92
                                       "
2023-03-30 星期四 ,25℃,11℃,多云~晴,西风 ,1级,12:33:49,"119
                                       "
2023-03-31 星期五 ,23℃,10℃,多云,东南风 ,2级,12:36:26,"108
                                       "
2023-04-01 星期六 ,22℃,12℃,多云,西南风 ,3级,12:39:03,"84
                                       "
2023-04-02 星期日 ,20℃,13℃,多云~阴,西南风 ,2级,12:41:40,"78
                                       "
2023-04-03 星期一 ,18℃,9℃,多云~小雨,东风 ,3级,12:44:15,"100
                                       "
2023-04-04 星期二 ,12℃,6℃,小雨,东北风 ,3级,12:46:52,"70
                                       "
2023-04-05 星期三 ,17℃,9℃,多云~小雨,北风 ,1级,12:49:27,"40
                                       "
2023-04-06 星期四 ,18℃,5℃,多云~晴,西北风 ,3级,12:52:03,"35
                                       "
2023-04-07 星期五 ,16℃,4℃,晴,西北风 ,4级,12:54:37,"42
                                       "
2023-04-08 星期六 ,22℃,8℃,晴~多云,西南风 ,3级,12:57:12,"32
                                       "
2023-04-09 星期日 ,22℃,10℃,多云,南风 ,2级,12:59:46,"50
                                       "
2023-04-10 星期一 ,28℃,11℃,多云,西南风 ,2级,13:02:20,"86
                                       "
2023-04-11 星期二 ,18℃,5℃,多云~晴,西北风 ,4级,13:04:52,"176
                                       "
2023-04-12 星期三 ,22℃,11℃,多云~晴,西南风 ,3级,13:07:25,"305
                                       "
2023-04-13 星期四 ,22℃,13℃,多云,东南风 ,1级,13:09:57,"277
                                       "
2023-04-14 星期五 ,20℃,8℃,多云~晴,西北风 ,4级,13:12:28,"471
                                       "
2023-04-15 星期六 ,20℃,7℃,多云~晴,西北风 ,2级,13:14:58,"191
                                       "
2023-04-16 星期日 ,21℃,10℃,多云,南风 ,2级,13:17:29,"72
                                       "
2023-04-17 星期一 ,21℃,10℃,多云,东北风 ,2级,13:19:59,"49
                                       "
2023-04-18 星期二 ,27℃,9℃,多云~晴,南风 ,1级,13:22:27,"81
                                       "
2023-04-19 星期三 ,26℃,16℃,多云~扬沙,西南风 ,3级,13:24:55,"71
                                       "
2023-04-20 星期四 ,18℃,12℃,多云~阴,东北风 ,4级,13:27:22,"78
                                       "
2023-04-21 星期五 ,14℃,8℃,多云~小雨,西南风 ,3级,13:29:48,"73
                                       "
2023-04-22 星期六 ,14℃,7℃,多云,南风 ,1级,13:32:13,"38
                                       "
2023-04-23 星期日 ,16℃,6℃,多云,东南风 ,2级,13:34:38,"32
                                       "
2023-04-24 星期一 ,17℃,8℃,多云~阴,西南风 ,3级,13:37:02,"52
                                       "
2023-04-25 星期二 ,20℃,5℃,多云~晴,西北风 ,3级,13:39:24,"56
                                       "
2023-04-26 星期三 ,19℃,10℃,多云,西南风 ,3级,13:41:46,"65
                                       "
2023-04-27 星期四 ,20℃,12℃,多云~小雨,西北风 ,1级,13:44:07,"51
                                       "
2023-04-28 星期五 ,21℃,11℃,雾~多云,西南风 ,2级,13:46:26,"82
                                       "
2023-04-29 星期六 ,24℃,9℃,多云~晴,西北风 ,3级,13:48:45,"67
                                       "
2023-04-30 星期日 ,24℃,11℃,多云~晴,西南风 ,1级,13:51:01,"41
                                       "
2023-05-01 星期一 ,25℃,16℃,多云~小雨,西北风 ,3级,13:53:18,"42
                                       "
2023-05-02 星期二 ,28℃,16℃,多云~晴,东北风 ,3级,13:55:32,"70
                                       "
2023-05-03 星期三 ,27℃,15℃,多云,东南风 ,2级,13:57:45,"77
                                       "
2023-05-04 星期四 ,20℃,15℃,多云~小雨,西北风 ,2级,13:59:57,"82
                                       "
2023-05-05 星期五 ,19℃,14℃,多云,西北风 ,2级,14:02:08,"53
                                       "
2023-05-06 星期六 ,24℃,12℃,多云~晴,东风 ,1级,14:04:17,"23
                                       "
2023-05-07 星期日 ,26℃,11℃,晴,南风 ,1级,14:06:24,"29
                                       "
2023-05-08 星期一 ,28℃,13℃,多云,东南风 ,2级,14:08:30,"37
                                       "
2023-05-09 星期二 ,27℃,14℃,多云,东风 ,3级,14:10:34,"48
                                       "
2023-05-10 星期三 ,27℃,14℃,多云,西南风 ,6级,14:12:37,"58
                                       "
2023-05-11 星期四 ,27℃,13℃,多云,西北风 ,2级,14:14:37,"55
                                       "
2023-05-12 星期五 ,25℃,15℃,小雨~晴,西南风 ,2级,14:16:36,"70
                                       "
2023-05-13 星期六 ,28℃,16℃,多云~晴,东风 ,4级,14:18:34,"57
                                       "
2023-05-14 星期日 ,30℃,16℃,晴,东北风 ,2级,14:20:29,"33
                                       "
2023-05-15 星期一 ,34℃,22℃,多云~晴,东南风 ,3级,14:22:22,"69
                                       "
2023-05-16 星期二 ,34℃,20℃,多云~小雨,西北风 ,1级,14:24:14,"98
                                       "
2023-05-17 星期三 ,27℃,15℃,多云,东北风 ,3级,14:26:03,"84
                                       "
2023-05-18 星期四 ,28℃,14℃,多云~小雨,东南风 ,2级,14:27:49,"56
                                       "
2023-05-19 星期五 ,20℃,14℃,小雨~扬沙,北风 ,5级,14:29:34,"49
                                       "
2023-05-20 星期六 ,24℃,16℃,多云~扬沙,南风 ,2级,14:31:16,"62
                                       "
2023-05-21 星期日 ,26℃,15℃,多云,北风 ,3级,14:32:57,"158
                                       "
2023-05-22 星期一 ,30℃,15℃,晴,东南风 ,1级,14:34:34,"91
                                       "
2023-05-23 星期二 ,30℃,18℃,多云,南风 ,2级,14:36:09,"37
                                       "
2023-05-24 星期三 ,28℃,18℃,多云~小雨,南风 ,2级,14:37:42,"43
                                       "
2023-05-25 星期四 ,25℃,16℃,多云,西北风 ,2级,14:39:12,"70
                                       "
2023-05-26 星期五 ,29℃,19℃,多云,西风 ,2级,14:40:39,"63
                                       "
2023-05-27 星期六 ,22℃,16℃,小雨~多云,东北风 ,2级,14:42:04,"75
                                       "
2023-05-28 星期日 ,28℃,19℃,多云~晴,西风 ,3级,14:43:26,"85
                                       "
2023-05-29 星期一 ,31℃,19℃,多云~小雨,西南风 ,3级,14:44:46,"51
                                       "
2023-05-30 星期二 ,25℃,15℃,多云,东北风 ,4级,14:46:02,"66
                                       "
2023-05-31 星期三 ,26℃,16℃,多云,东南风 ,3级,14:47:15,"54
                                       "
2023-06-01 星期四 ,31℃,16℃,多云~晴,东北风 ,2级,14:48:25,"60
                                       "
2023-06-02 星期五 ,31℃,17℃,多云,东南风 ,2级,14:49:33,"55
                                       "
2023-06-03 星期六 ,33℃,19℃,多云,西南风 ,2级,14:50:37,"35
                                       "
